ï»¿Date,Open,High,Low,Close
3-Jul-14,583.35,585.01,580.92,584.73
2-Jul-14,583.35,585.44,580.39,582.34
1-Jul-14,578.32,584.4,576.65,582.67
30-Jun-14,578.66,579.57,574.75,575.28
27-Jun-14,577.18,579.87,573.8,577.24
26-Jun-14,581,582.45,571.85,576
25-Jun-14,565.26,579.96,565.22,578.65
24-Jun-14,565.19,572.65,561.01,564.62
23-Jun-14,555.15,565,554.25,564.95
20-Jun-14,556.85,557.58,550.39,556.36
19-Jun-14,554.24,555,548.51,554.9
18-Jun-14,544.86,553.56,544,553.37
17-Jun-14,544.2,545.32,539.33,543.01
16-Jun-14,549.26,549.62,541.52,544.28
13-Jun-14,552.26,552.3,545.56,551.76
12-Jun-14,557.3,557.99,548.46,551.35
11-Jun-14,558,559.88,555.02,558.84
10-Jun-14,560.51,563.6,557.9,560.55
9-Jun-14,557.15,562.9,556.04,562.12
6-Jun-14,558.06,558.06,548.93,556.33
5-Jun-14,546.4,554.95,544.45,553.9
4-Jun-14,541.5,548.61,538.75,544.66
3-Jun-14,550.99,552.34,542.55,544.94
2-Jun-14,560.7,560.9,545.73,553.93
30-May-14,560.8,561.35,555.91,559.89
29-May-14,563.35,564,558.71,560.08
28-May-14,564.57,567.84,561,561.68
27-May-14,556,566,554.35,565.95
23-May-14,547.26,553.64,543.7,552.7
22-May-14,541.13,547.6,540.78,545.06
21-May-14,532.9,539.18,531.91,538.94
20-May-14,529.74,536.23,526.3,529.77
19-May-14,519.7,529.78,517.58,528.86
16-May-14,521.39,521.8,515.44,520.63
15-May-14,525.7,525.87,517.42,519.98
14-May-14,533,533,525.29,526.65
13-May-14,530.89,536.07,529.51,533.09
12-May-14,523.51,530.19,519.01,529.92
9-May-14,510.75,519.9,504.2,518.73
8-May-14,508.46,517.23,506.45,511
7-May-14,515.79,516.68,503.3,509.96
6-May-14,525.23,526.81,515.06,515.14
5-May-14,524.82,528.9,521.32,527.81
2-May-14,533.76,534,525.61,527.93
1-May-14,527.11,532.93,523.88,531.35
30-Apr-14,527.6,528,522.52,526.66
29-Apr-14,516.9,529.46,516.32,527.7
28-Apr-14,517.18,518.6,502.8,517.15
25-Apr-14,522.51,524.7,515.42,516.18
24-Apr-14,530.07,531.65,522.12,525.16
23-Apr-14,533.79,533.87,526.25,526.94
22-Apr-14,528.64,537.23,527.51,534.81
21-Apr-14,536.1,536.7,525.6,528.62
17-Apr-14,548.81,549.5,531.15,536.1
16-Apr-14,543,557,540,556.54
15-Apr-14,536.82,538.45,518.46,536.44
14-Apr-14,538.25,544.1,529.56,532.52
11-Apr-14,532.55,540,526.53,530.6
10-Apr-14,565,565,539.9,540.95
9-Apr-14,559.62,565.37,552.95,564.14
8-Apr-14,542.6,555,541.61,554.9
7-Apr-14,540.74,548.48,527.15,538.15
4-Apr-14,574.65,577.77,543,543.14
3-Apr-14,569.85,587.28,564.13,569.74
2-Apr-14,282.43,571.83,561.44,566.98
1-Apr-14,559.57,568.18,558.44,566.88
31-Mar-14,564.63,566.93,555.87,556.7
28-Mar-14,558.94,566.03,558.33,559.51
27-Mar-14,564.86,565.4,550.5,556.58
26-Mar-14,580.42,585.2,565.18,565.42
25-Mar-14,582.42,584.34,572.93,578.78
24-Mar-14,591.5,591.86,572.4,578.39
21-Mar-14,602.55,604.21,590.63,590.93
20-Mar-14,599.38,604.2,597.08,597.98
19-Mar-14,605.29,605.39,596.61,599.03
18-Mar-14,596.74,605.16,595.93,605.02
17-Mar-14,589.04,597.94,588.47,595.45
14-Mar-14,590.4,594.84,585.68,585.81
13-Mar-14,603.37,604.64,591.79,593.94
12-Mar-14,597.6,603.32,591.5,603.05
11-Mar-14,606.28,606.55,597.72,599.4
10-Mar-14,607.24,608.21,601.44,605.18
7-Mar-14,612.79,612.88,605.11,606.79
6-Mar-14,610.53,612.46,608.69,609.2
5-Mar-14,606.92,610.93,605.1,608.52
4-Mar-14,606.89,607.39,604.15,606.85
3-Mar-14,602.77,603.32,595.47,600.74
28-Feb-14,609.56,611.48,602.51,607.22
27-Feb-14,608.59,611.5,607.9,609
26-Feb-14,611.39,613.83,606.27,609.47
25-Feb-14,607.36,611.64,604.61,609.39
24-Feb-14,602.08,609.47,601.95,605.65
21-Feb-14,603.3,604.33,600.82,601.29
20-Feb-14,600.97,602.84,599.51,601.45
19-Feb-14,602.05,604,598.15,600.57
18-Feb-14,600.1,605.83,599.4,604.83
14-Feb-14,597.21,601.59,595.8,600.8
13-Feb-14,589.78,599.35,589.24,599.35
12-Feb-14,593.91,594.4,590.1,592.75
11-Feb-14,589.49,595.34,585.52,594.49
10-Feb-14,585.31,590.61,583.93,585.88
7-Feb-14,583.23,588.36,579.7,588.13
6-Feb-14,574.99,579.5,573.2,579.4
5-Feb-14,571.12,574.81,563.45,571.03
4-Feb-14,568.43,576.92,567.94,568.51
3-Feb-14,589.01,590.27,565.44,566.15
31-Jan-14,585.09,592.68,574.99,589.89
30-Jan-14,571.93,575.67,563.06,567.13
29-Jan-14,559,560.31,549.16,552.91
28-Jan-14,554.6,562.31,554.42,560.94
27-Jan-14,562.49,562.69,540.59,550.06
24-Jan-14,574.93,576.2,560.94,561.35
23-Jan-14,579.42,580.66,576.61,579.47
22-Jan-14,582.72,583.36,578.85,581.93
21-Jan-14,579.88,581.42,575.07,581.27
17-Jan-14,577.85,579.73,571.53,574.69
16-Jan-14,573.98,578.39,573.43,577.53
15-Jan-14,575.92,576.92,571.32,573.74
14-Jan-14,568.41,574.92,563.48,574.13
13-Jan-14,562.67,572.88,558.03,560.93
10-Jan-14,568.97,568.97,560.56,564.52
9-Jan-14,571.15,571.54,562.22,564.55
8-Jan-14,572.43,573.09,566.08,570.04
7-Jan-14,561.94,569.28,560.02,568.86
6-Jan-14,555.95,558.87,552.67,558.1
3-Jan-14,556.94,557.91,551.91,551.95
2-Jan-14,557.17,558.32,553.58,556
31-Dec-13,555.56,559.94,552.58,559.79
30-Dec-13,559.61,559.69,553.96,554.18
27-Dec-13,559.44,559.58,555.91,558.64
26-Dec-13,556.45,558.94,553.79,558.17
24-Dec-13,556.93,557.06,553.5,555.36
23-Dec-13,553.37,557.34,552.01,556.99
20-Dec-13,544.1,550.03,543.46,549.76
19-Dec-13,540.18,545.45,539,542.57
18-Dec-13,535.46,541.93,528.99,541.83
17-Dec-13,536.51,539.84,533.66,534.4
16-Dec-13,530.97,536.81,530.47,535.95
13-Dec-13,537.07,537.61,528.41,529.86
12-Dec-13,539.25,540.93,533.97,534.45
11-Dec-13,543.16,545.11,537.05,538.11
10-Dec-13,537.29,545.61,537.29,541.79
9-Dec-13,534.51,540.61,533.48,538.53
6-Dec-13,534.36,534.46,529.51,534.4
5-Dec-13,528.07,529.3,525.02,528.14
4-Dec-13,525.16,531.46,524.48,528.56
3-Dec-13,524.95,531.19,523.99,526.1
2-Dec-13,531.22,532.64,524.85,526.71
29-Nov-13,530.55,532.78,529.2,529.27
27-Nov-13,530.48,533.47,529.47,531.02
26-Nov-13,523.78,530.22,520.95,528.68
25-Nov-13,518.06,526.07,516.99,522.44
22-Nov-13,516.19,517.57,514.1,515.43
21-Nov-13,512.99,518.64,512.49,516.52
20-Nov-13,514.46,516.16,509.67,510.64
19-Nov-13,515.34,516.86,511.01,512.09
18-Nov-13,517.36,523.85,514.11,515.26
15-Nov-13,516.92,518.48,514.64,516.26
14-Nov-13,516.44,519.36,514.66,517.1
13-Nov-13,502.87,515.91,502.75,515.72
12-Nov-13,503.35,508.27,502,505.38
11-Nov-13,504.25,507.46,503.5,504.79
8-Nov-13,503.87,508.74,503.75,507.51
7-Nov-13,510.79,511.45,503.32,503.47
6-Nov-13,512.29,512.99,507.18,510.86
5-Nov-13,509.66,515.31,508.2,510.25
4-Nov-13,515.23,515.67,510.5,512.54
1-Nov-13,515.38,517.48,512.04,513.01
31-Oct-13,513.95,520.24,511.47,514.77
30-Oct-13,518.2,518.24,512.49,514.69
29-Oct-13,509.04,517.95,506.24,517.6
28-Oct-13,507.09,511.2,505.99,506.99
25-Oct-13,513.9,513.9,504.86,507.09
24-Oct-13,515.42,519.76,511.89,512.26
23-Oct-13,500,516.86,499.81,515.19
22-Oct-13,502,505.99,497.4,503
21-Oct-13,505.22,508.99,499.28,501.15
18-Oct-13,487.8,507.22,486.51,505.2
17-Oct-13,446.05,448,442.42,443.95
16-Oct-13,442.49,448.72,441.56,448.56
15-Oct-13,437.44,442.37,436.56,440.56
14-Oct-13,432.9,437.69,432.26,437.62
11-Oct-13,432.58,436.3,432.22,435.56
10-Oct-13,431.49,433.98,429.67,433.69
9-Oct-13,427.71,430.89,421.07,427.5
8-Oct-13,432.23,432.56,425.39,426.41
7-Oct-13,433.29,436.56,431.62,432.44
4-Oct-13,437.06,438.32,434.56,435.74
3-Oct-13,443.56,446.6,435.61,437.61
2-Oct-13,440.92,444.23,438.47,443.55
1-Oct-13,439.68,443.39,439.58,443.06
30-Sep-13,434.11,439.98,433.72,437.52
27-Sep-13,436.97,438.32,435.22,437.76
26-Sep-13,438.71,440.93,437.06,438.65
25-Sep-13,442.83,442.83,437.36,438.18
24-Sep-13,442.81,444.6,440.26,442.98
23-Sep-13,447.63,450.34,442.16,442.81
20-Sep-13,448.75,451.61,447.36,451.1
19-Sep-13,452.54,452.54,447.25,448.75
18-Sep-13,442.73,451.53,441.09,451.21
17-Sep-13,443.26,443.75,440.06,442.61
16-Sep-13,447.65,448.05,441.99,443.44
13-Sep-13,446.8,447.39,441.98,444.09
12-Sep-13,448.25,448.5,444.56,446.08
11-Sep-13,443.83,448.04,442.6,447.65
10-Sep-13,444.56,445.55,441.56,443.89
9-Sep-13,441.42,444.43,440.77,443.58
6-Sep-13,440.78,441.45,436.43,439.35
5-Sep-13,436.31,439.5,435.37,439.34
4-Sep-13,429.74,436.31,427.16,435.38
3-Sep-13,426.75,432.66,426.55,429.76
30-Aug-13,427.45,428.59,422.36,423.03
29-Aug-13,424.11,429.76,423.87,427.29
28-Aug-13,424.7,427.28,423.46,423.85
27-Aug-13,429.38,431.43,423.53,424.65
26-Aug-13,434.56,437.01,432.59,432.76
23-Aug-13,438.48,438.56,434.44,434.67
22-Aug-13,435.91,436.94,434.69,436.42
21-Aug-13,434.89,438.02,432.82,434.23
20-Aug-13,433.74,435.62,431.34,432.28
19-Aug-13,428.43,435.56,428.3,432.39
16-Aug-13,430.21,430.79,427.84,428.03
15-Aug-13,431.79,432.03,428.57,429.4
14-Aug-13,438.75,439.67,433.15,434.47
13-Aug-13,442.97,443.81,437.66,440.18
12-Aug-13,443.01,443.06,440.38,442.31
9-Aug-13,444.83,447.31,444.56,444.76
8-Aug-13,447.3,447.47,442.2,445.88
7-Aug-13,447.07,448.78,444.1,444.88
6-Aug-13,451.89,454.4,447.42,447.84
5-Aug-13,452.24,452.31,449.15,452.05
2-Aug-13,451.27,453.05,449.96,452.83
1-Aug-13,447.05,451.82,447.05,451.66
31-Jul-13,446.05,447.81,442.65,443.43
30-Jul-13,442.29,447.36,439.99,445.01
29-Jul-13,442.01,446.96,440,440.69
26-Jul-13,443.05,444.55,440.56,442.23
25-Jul-13,446.49,447.98,442.6,443.41
24-Jul-13,453.18,454.69,449.9,451
23-Jul-13,454.89,456.04,449.34,451.45
22-Jul-13,450.55,455.88,448.05,454.89
19-Jul-13,442.86,451.02,437.37,447.85
18-Jul-13,459.04,459.54,451.14,454.88
17-Jul-13,460.04,462.97,457.69,458.82
16-Jul-13,463.1,463.52,456.49,459.34
15-Jul-13,461.69,463.54,457.72,461.88
12-Jul-13,459.54,461.04,457.16,461.04
11-Jul-13,456.04,459.94,453.81,459.66
10-Jul-13,451.27,455.11,449.74,452.54
9-Jul-13,455.04,456.02,448.54,452.17
8-Jul-13,449.16,452.68,448.09,452.09
5-Jul-13,444.56,447.26,443.23,446.3
3-Jul-13,439.51,444.14,438.81,442.77
2-Jul-13,444.65,445.05,438.2,440.71
1-Jul-13,442.78,445.59,442.06,443.5
28-Jun-13,437.01,440.48,436.66,439.74
27-Jun-13,438.96,441.9,437.89,438.1
26-Jun-13,436.44,438.56,434.85,436.39
25-Jun-13,438.19,439.4,431.82,432.67
24-Jun-13,435.5,437.72,431.19,434.46
21-Jun-13,443.73,444.5,436.1,440.02
20-Jun-13,446.55,450.05,441.21,441.93
19-Jun-13,450.23,454.96,448.3,449.89
18-Jun-13,443.88,450.05,443.73,449.86
17-Jun-13,439.18,444.27,438.7,442.68
14-Jun-13,439.61,441.91,436.63,437.08
13-Jun-13,434.06,439.39,432.32,438.06
12-Jun-13,442.29,442.56,434.39,435.55
11-Jun-13,441.54,443.06,439.32,439.47
10-Jun-13,440.61,445.05,439.6,444.66
7-Jun-13,434.77,439.56,432.23,439.43
6-Jun-13,431.72,432.73,423.19,431.89
5-Jun-13,430.82,434.29,428.14,429.42
4-Jun-13,433.49,434.86,426.61,429.12
3-Jun-13,431.34,436.55,427.08,433.38
31-May-13,433.63,438.06,433.33,435.17
30-May-13,434.53,439.01,432.77,434.94
29-May-13,437.42,438.56,431.71,433.72
28-May-13,441.31,445.62,439.76,440.19
24-May-13,437.19,438.97,435.07,436.22
23-May-13,438.06,444.54,436.56,440.95
22-May-13,450.83,454.2,443,444.27
21-May-13,453.56,455.37,448.36,453.03
20-May-13,452.05,459.84,452.05,453.81
17-May-13,454.56,456.29,449.81,454.14
16-May-13,459.04,459.53,450.55,451.48
15-May-13,447.3,457.73,446.56,457.49
14-May-13,438.31,443.9,438.13,443.11
13-May-13,439.01,440.79,436.25,438.33
10-May-13,437.22,439.83,435.64,439.67
9-May-13,434.98,439.39,433.68,435.3
8-May-13,428.07,436.5,426.03,436.38
7-May-13,431.07,431.5,424.91,428.19
6-May-13,423.71,430.49,423.71,430.34
3-May-13,418.06,422.98,417.58,422.44
2-May-13,409.64,416.86,409.12,414.39
1-May-13,411.22,411.95,407.77,409.8
30-Apr-13,409.09,413.41,408.43,411.87
29-Apr-13,401.22,410.94,401.1,409.12
26-Apr-13,403.4,403.47,397.89,400.31
25-Apr-13,407.72,407.83,403.41,404.15
24-Apr-13,403.65,408.59,403.6,406.32
23-Apr-13,400.1,407.34,399.78,403.55
22-Apr-13,399.9,401.58,387.11,399.66
19-Apr-13,384.2,401.32,382.75,399.54
18-Apr-13,392.28,392.51,380.25,382.57
17-Apr-13,392.98,395.03,388.66,390.89
16-Apr-13,392.9,397.6,391.57,396.29
15-Apr-13,392.58,398.1,388.12,390.57
12-Apr-13,395.6,395.66,391.07,394.63
11-Apr-13,396.04,396.15,391.64,394.8
10-Apr-13,391.07,395.78,387.61,394.69
9-Apr-13,387.36,391.48,386.17,388.44
8-Apr-13,388.99,389.39,383.82,387.04
5-Apr-13,392.64,393.1,387.81,391.13
4-Apr-13,401.72,402.47,395.25,397.14
3-Apr-13,406.32,406.69,399.93,402.7
2-Apr-13,401.87,407.01,401.6,406.11
1-Apr-13,397.11,400.72,396.23,400.19
28-Mar-13,401.59,402.28,396.25,396.7
27-Mar-13,402.94,403.1,400.26,400.93
26-Mar-13,406.34,406.59,403.49,405.8
25-Mar-13,405.8,409.21,403.01,404.42
22-Mar-13,406.96,407.21,404.42,404.75
21-Mar-13,405.24,408.05,404.52,405.22
20-Mar-13,408.01,408.35,405.31,406.95
19-Mar-13,405.21,409.22,402.82,405.25
18-Mar-13,402.1,405.97,400.33,403.49
15-Mar-13,408.84,409.74,406.26,406.74
14-Mar-13,413.08,413.08,408.29,410.36
13-Mar-13,413.54,414.93,410.74,412.24
12-Mar-13,414.94,415.53,411.42,413.39
11-Mar-13,415.43,419.43,415.33,416.99
8-Mar-13,416.83,417.04,412.11,415.34
7-Mar-13,416.61,417.89,414.38,415.88
6-Mar-13,420.09,421.58,413.99,415.27
5-Mar-13,414.05,419.65,414.04,418.88
4-Mar-13,402.25,411.01,402.1,410.34
1-Mar-13,398.5,403.17,397.68,402.69
28-Feb-13,400.15,403.09,400.11,400.2
27-Feb-13,397,401.97,395.16,399.49
26-Feb-13,397.1,397.58,391.81,394.67
25-Feb-13,400.75,403.8,394.85,394.99
22-Feb-13,399.23,400.22,396.5,399.46
21-Feb-13,398.6,402.32,395.21,397.37
20-Feb-13,402.25,404.08,395.5,395.83
19-Feb-13,397.6,403.1,397.24,403.02
15-Feb-13,393.31,396.23,393.14,396.05
14-Feb-13,389.48,393.98,388.5,393.52
13-Feb-13,389.67,392.28,389.6,391.04
12-Feb-13,390.48,393.56,389.3,389.96
11-Feb-13,388.81,391.11,386.49,390.82
8-Feb-13,389.67,392.94,389.39,392.29
7-Feb-13,384.47,389.02,382.37,386.59
6-Feb-13,379.16,386.09,378.87,384.7
5-Feb-13,380.18,385.17,379.35,382.49
4-Feb-13,383.46,384.85,378.76,379.13
1-Feb-13,378.7,387.9,378.7,387.4
31-Jan-13,374.88,378.43,374.75,377.47
30-Jan-13,376.49,380.09,376.08,376.54
29-Jan-13,373,378.1,372.9,376.46
28-Jan-13,375.5,377.42,373.57,374.99
25-Jan-13,375.01,378.86,374.75,376.46
24-Jan-13,370.25,378.04,369.88,376.54
23-Jan-13,367.63,374.13,367.53,370.38
22-Jan-13,351.98,352.32,347.41,351.08
18-Jan-13,354.82,356.03,350.31,351.9
17-Jan-13,358.5,359.46,355.15,355.3
16-Jan-13,360.84,361.81,356.48,357.24
15-Jan-13,359.31,367.13,355.69,362.1
14-Jan-13,368.13,370.73,360.81,361.26
11-Jan-13,370.63,370.84,367.78,369.62
10-Jan-13,371.04,372.13,366.38,370.37
9-Jan-13,365.77,368.81,363.94,368.69
8-Jan-13,367.4,367.78,361.85,366.28
7-Jan-13,367.36,369.32,364.92,367.01
4-Jan-13,364.31,370.36,363.48,368.62
3-Jan-13,362.1,365.6,360,361.47
2-Jan-13,359.35,363.14,357.92,361.26
31-Dec-12,349.65,354.93,347.65,353.34
28-Dec-12,350.49,353.1,349.65,349.65
27-Dec-12,353.22,354.07,348.96,352.79
26-Dec-12,353.68,356.08,350.85,354.08
24-Dec-12,356.9,357.23,353.38,354.4
21-Dec-12,356.63,359.05,354.9,357.46
20-Dec-12,361.27,361.96,358.13,360.82
19-Dec-12,359.99,361.14,357.98,359.69
18-Dec-12,357.94,364.19,357.17,360.17
17-Dec-12,352.4,368.77,351.66,360.03
14-Dec-12,349.24,353.56,348.87,350.63
13-Dec-12,357.6,357.88,349.42,351
12-Dec-12,349.27,351.4,346.39,348.43
